entropy,size,null_bytes,label
5.484120059248481,41204,13930,1
5.484562764807163,41217,13936,1
5.486005226734269,41204,13922,1
5.531868285758737,40692,13430,1
5.532376655962198,40692,13429,1
5.48576010330911,41204,13922,1
5.531877436439746,40692,13429,1
5.4860041363559295,41204,13922,1
5.531904036093118,40692,13430,1
5.532249318145029,40692,13429,1
5.485768004518089,41204,13922,1
5.5320006673610695,40692,13429,1
5.485904378484045,41204,13922,1
5.531821444244402,40692,13430,1
5.532272836115839,40692,13429,1
5.485828680648582,41204,13922,1
5.531862730447899,40692,13429,1
5.485905764829482,41204,13922,1
5.531697453075026,40692,13430,1
5.532140613997798,40692,13429,1
5.4856647110285275,41204,13922,1
5.53171436925495,40692,13429,1
5.4858292866700555,41204,13922,1
5.531647940196594,40692,13430,1
5.532331091050252,40692,13429,1
5.485605742303926,41204,13922,1
5.531828650341114,40692,13429,1
5.526512712470231,40692,13462,0
5.526702877424335,40692,13462,0
5.526640273790146,40692,13461,0
5.526664852318437,40692,13461,0
5.526769965419076,40692,13461,0
5.526496139478227,40692,13463,0
5.526606680566732,40692,13463,0
5.526540929717827,40692,13462,0
5.526595626045099,40692,13462,0
5.52662872744271,40692,13462,0
5.527811145284717,40692,13451,0
5.527852862296383,40692,13451,0
5.527989556960449,40692,13450,0
5.52791701187381,40692,13450,0
5.5279247541375485,40692,13450,0
5.5264959828526345,40692,13462,0
5.526518161691562,40692,13463,0
5.526864753176577,40692,13461,0
5.526767543830238,40692,13461,0
5.526626206404526,40692,13461,0
5.52821888285414,40692,13450,0
5.528261907838071,40692,13451,0
5.528427138998037,40692,13449,0
5.528204889276475,40692,13449,0
5.528299046956263,40692,13450,0
5.525278046700745,40703,13467,0
5.497254186399445,41217,13843,0
